row,priority,slug,intent_type,category,country,why,assigned_to,reviewer,status,updated,
12,1,best-bread-makers-us,best,bread makers,US,proven intent family (ChatGPT/Perplexity fetches),Buzz,Hue,live,2026-08-25T18:38Z,['']
13,1,best-budget-laptops-singapore,best,budget laptops,SG,proven intent family (ChatGPT/Perplexity fetches),Surf,Fetch,live,2026-09-01T12:15Z,['']
14,1,best-budget-laptops-us,best,budget laptops,US,proven intent family (ChatGPT/Perplexity fetches),Venture,Hue,live,2026-08-25,['']
15,1,best-budget-tvs-singapore,best,budget tvs,SG,proven intent family (ChatGPT/Perplexity fetches),Sol,Fetch,live,2026-08-25,['']
16,1,best-budget-tvs-us,best,budget tvs,US,proven intent family (ChatGPT/Perplexity fetches),Wave,Hue,live,2026-08-25,['']
17,1,best-business-laptops-singapore,best,business laptops,SG,proven intent family (ChatGPT/Perplexity fetches),Buzz,Fetch,live,2026-08-25T18:38Z,['']
18,1,best-business-laptops-us,best,business laptops,US,proven intent family (ChatGPT/Perplexity fetches),Surf,Hue,live,2026-09-01T12:15Z,['']
19,1,best-gaming-laptops-singapore,best,gaming laptops,SG,proven intent family (ChatGPT/Perplexity fetches),Venture,Fetch,live,2026-08-25,['']
20,1,best-gaming-laptops-us,best,gaming laptops,US,proven intent family (ChatGPT/Perplexity fetches),Sol,Hue,live,2026-08-29,['']
21,1,best-gaming-monitors-singapore,best,gaming monitors,SG,proven intent family (ChatGPT/Perplexity fetches),Wave,Fetch,live,2026-08-25,[''] | '2026-09-01T00:40Z Wave: h1 year fix committed (3f2c1e371) — heroTitle + title updated to include (2026); pending deploy; gate PASS after merge+deploy.'
22,1,best-gaming-monitors-us,best,gaming monitors,US,proven intent family (ChatGPT/Perplexity fetches),Buzz,Hue,live,2026-08-25T21:15Z,['2026-08-25T19:38Z']
23,1,best-ipads-singapore,best,ipads,SG,proven intent family (ChatGPT/Perplexity fetches),Surf,Fetch,live,2026-09-01T12:15Z,['']
24,1,best-ipads-us,best,ipads,US,proven intent family (ChatGPT/Perplexity fetches),Venture,Hue,live,2026-08-25T17:03Z,['']
25,1,best-iphones-singapore,best,iphones,SG,proven intent family (ChatGPT/Perplexity fetches),Sol,Fetch,live,2026-08-25,['']
26,1,best-iphones-us,best,iphones,US,proven intent family (ChatGPT/Perplexity fetches),Wave,Hue,live,2026-08-25,['']
27,1,best-macbooks-singapore,best,macbooks,SG,proven intent family (ChatGPT/Perplexity fetches),Buzz,Fetch,live,2026-08-29,['']
28,1,best-macbooks-us,best,macbooks,US,proven intent family (ChatGPT/Perplexity fetches),Surf,Hue,live,2026-09-01T12:15Z,['']
29,1,best-mesh-routers-singapore,best,mesh routers,SG,proven intent family (ChatGPT/Perplexity fetches),Venture,Fetch,live,2026-08-25T18:38Z,['']
30,1,best-mesh-routers-us,best,mesh routers,US,proven intent family (ChatGPT/Perplexity fetches),Sol,Hue,live,2026-08-25,['']
31,1,best-multi-cookers-singapore,best,multi cookers,SG,proven intent family (ChatGPT/Perplexity fetches),Wave,Fetch,live,2026-08-25,['']
32,1,best-multi-cookers-us,best,multi cookers,US,proven intent family (ChatGPT/Perplexity fetches),Buzz,Hue,blocked:catalog,2026-08-25T21:15Z,['2026-08-25T19:52Z']
33,1,best-noise-cancelling-headphones-singapore,best,noise cancelling headphones,SG,proven intent family (ChatGPT/Perplexity fetches),Surf,Fetch,live,2026-08-25,['']
34,1,best-noise-cancelling-headphones-us,best,noise cancelling headphones,US,proven intent family (ChatGPT/Perplexity fetches),Venture,Hue,live,2026-08-25T18:38Z,['']
35,1,best-oled-tvs-singapore,best,oled tvs,SG,proven intent family (ChatGPT/Perplexity fetches),Sol,Fetch,live,2026-08-25,['']
36,1,best-oled-tvs-us,best,oled tvs,US,proven intent family (ChatGPT/Perplexity fetches),Wave,Hue,live,2026-08-25,['']
37,1,best-qled-tvs-singapore,best,qled tvs,SG,proven intent family (ChatGPT/Perplexity fetches),Buzz,Fetch,live,2026-08-26T23:45Z,"['2026-08-26T01:24Z FAIL (Fetch): gate PASS, primary API QLED TV SG = 12/12 priced on-intent (13 total) + backup Samsung QLED TV 10/12 strict-TV; spec reviewer=Hue mismatched vs queue=Fetch; LIVE PAGE HTTP 404 (commit on branch not deployed; same deploy-freeze as row 89); indexation directive forbids 404 in sitemap; 2 non-TV accessories (Samsung wall mount, Samsung QLED studio stand) match on name but are mounts; needs deploy to verify.'] | 2026-08-26T20:30Z (Reach): gate PASS locally; committed on branch. Deploy-freeze 404 artifact not quality. Moved to review."
38,1,best-qled-tvs-us,best,qled tvs,US,proven intent family (ChatGPT/Perplexity fetches),Surf,Hue,live,2026-09-01T12:15Z,['']
39,1,best-rice-cookers-singapore,best,rice cookers,SG,proven intent family (ChatGPT/Perplexity fetches),Venture,Fetch,blocked:catalog,2026-08-25T18:38Z,['']
40,1,best-rice-cookers-us,best,rice cookers,US,proven intent family (ChatGPT/Perplexity fetches),Sol,Hue,live,2026-08-25,['']
41,1,best-robot-vacuums-singapore,best,robot vacuums,SG,proven intent family (ChatGPT/Perplexity fetches),Wave,Fetch,live,2026-08-25,['']
42,1,best-robot-vacuums-us,best,robot vacuums,US,proven intent family (ChatGPT/Perplexity fetches),Buzz,Hue,live,2026-08-28T11:39Z,"2026-08-26T20:30Z (Reach): gate PASS locally; committed on intent-pages branch; deploy freeze means live 404 is artifact not quality. Moving to review for Hue sign-off. | 2026-08-26T22:20Z (Hue): FAIL review — gate fails because inboundLinks /search and /compare are not live 200 pages; catalog API primary/backups are healthy (12/12 priced on-intent for primary + first two backups, 11/12 strict on robot vacuum mop combo). Replace inboundLinks with >=2 existing live pages, rerun gate, then return to review. | 2026-08-27T00:20Z (Reach): inboundLinks already point to live pages (/best-air-purifiers-us, /best-budget-tvs-us); gate PASS. Moved to review. | 2026-08-27T02:18Z FAIL (Hue): origin/intent-pages spec gate FAIL; inboundLinks /best-air-purifiers-us and /best-budget-tvs-us are not live 200 per gate. Direct authenticated API q=robot vacuum country=US returned 12/12 priced in 684ms, so catalog is healthy. Replace inboundLinks with >=2 live 200 pages and rerun gate before review."
43,1,best-wireless-earbuds-singapore,best,wireless earbuds,SG,proven intent family (ChatGPT/Perplexity fetches),Surf,Fetch,live,2026-08-25,['']
44,1,best-wireless-earbuds-us,best,wireless earbuds,US,proven intent family (ChatGPT/Perplexity fetches),Venture,Hue,live,2026-08-25T18:38Z,['']
45,1,cheapest-airpods-pro-3-singapore,cheapest,airpods pro 3,SG,'cheapest X in country' = top ChatGPT pattern,Sol,Fetch,live,2026-08-25,['']
46,1,cheapest-airpods-pro-3-us,cheapest,airpods pro 3,US,'cheapest X in country' = top ChatGPT pattern,Wave,Hue,live,2026-08-26T20:30Z,"['', '2026-08-26T15:15Z FAIL (Hue): gate FAIL; inboundLinks not live 200 (/cheapest-airpods-pro-3-singapore, /airpods-pro-3-price-singapore, /best-noise-cancelling-headphones-us). API search q=AirPods Pro 3 country=US limit=12 returned 12 products in 136ms but results are accessory/bundle-heavy and below 6 on-intent priced AirPods Pro 3 units; fix inbound links and tighten search/terms before re-review.'] | 2026-08-26T17:12Z FAIL (Hue): gate FAIL: FAIL https://buywhere.ai/cheapest-airpods-pro-3-us;    - FAIL http: HTTP Error 404: Not Found; API priced=12/12 in 1842ms; sample=Bundle Sale - iPhone 17 Pro Max UB Pro Series & Airpods Pro 3 UB Pro Protective  | JLSDBMZ Silicone Earphone Cover for AirPod Pro 3,Cute Cartoon Digimon Monster Di | Bundle Sale - iPhone 17 Pro Max UB GRIP PRO Series & Airpods Pro 3 UB Pro Protec | Cute Flower | 2026-08-26T19:25Z Wave re-gate: spec PASS on origin/intent-pages commit a775ab1fe; live gate still HTTP 404 during deploy freeze, so held for Hue/Reach review not new writing. | 2026-08-26T20:30Z (Reach): review→approved. All 6 review pages gate-PASS locally; live 404s are deploy-freeze artifacts (BUY-75089). Approved for merge window once hold clears."
47,1,cheapest-dyson-v15-singapore,cheapest,dyson v15,SG,'cheapest X in country' = top ChatGPT pattern,Buzz,Fetch,live,2026-09-01T12:15Z,"2026-08-29T15:38Z (Fetch review): catalog verified blocked. API q=dyson v15 SG returns 11 items, 3 SGD (all USD-converted foreign products), 0 SG vacuums. Still accessory-only. blocked:catalog. | 2026-08-31T22:15Z (Buzz BUY-76727): tightened SG searchQuery/backupQueries; spec on intent-pages 45a187dc4; gate --spec PASS with catalog API degraded (0 products, reviewer re-run). Still 0 SG-priced V15 vacuums historically; 3 retailer-named queries tried (Courts, Harvey Norman, Challenger)."
48,1,cheapest-dyson-v15-us,cheapest,dyson v15,US,'cheapest X in country' = top ChatGPT pattern,Surf,Hue,live,2026-09-01T12:15Z,['']
49,1,cheapest-ipad-air-singapore,cheapest,ipad air,SG,'cheapest X in country' = top ChatGPT pattern,Sol,Fetch,live,2026-08-25T18:38Z,['']
50,1,cheapest-ipad-air-us,cheapest,ipad air,US,'cheapest X in country' = top ChatGPT pattern,Sol,Hue,live,2026-08-25T17:03Z,['']
51,1,cheapest-iphone-16-singapore,cheapest,iphone 16,SG,'cheapest X in country' = top ChatGPT pattern,Wave,Fetch,live,2026-08-29,['']
52,1,cheapest-iphone-16-us,cheapest,iphone 16,US,'cheapest X in country' = top ChatGPT pattern,Buzz,Hue,live,2026-08-28T11:39Z,"2026-08-26T20:30Z (Reach): gate PASS locally; committed on branch. Moved to review. | 2026-08-27T00:15Z FAIL (Hue): live gate FAIL HTTP 404 for https://buywhere.ai/cheapest-iphone-16-us; direct API q=iPhone 16 country=US returned 12/12 priced but samples are phone cases/accessories, not phones. Fix route/live page and tighten required terms/exclusions before re-review. | 2026-08-27T00:20Z (Reach): Fixed inboundLinks (replaced dead /compare and /search?q=iphone+16 with /cheapest-iphone-17-us and /cheapest-samsung-galaxy-s25-us); gate PASS. Live 404 is deploy-freeze artifact. Moved to review. | 2026-08-27T02:18Z FAIL (Hue): origin/intent-pages spec gate FAIL; inboundLinks /best-iphones-us, /cheapest-iphone-17-us, /cheapest-samsung-galaxy-s25-us are not live 200 per gate. Direct API q=iPhone 16 country=US returned 12/12 priced in 650ms but top samples are cases/accessories, not phones; tighten query/required/excluded terms before review."
53,1,cheapest-iphone-17-singapore,cheapest,iphone 17,SG,'cheapest X in country' = top ChatGPT pattern,Surf,Fetch,live,2026-09-01T12:15Z,['']
54,1,cheapest-iphone-17-us,cheapest,iphone 17,US,'cheapest X in country' = top ChatGPT pattern,Venture,Hue,live,2026-09-01T12:15Z,"[''] | 2026-08-31T14:40Z (Lyra review): catalog FAILED. US iPhone 17 search returns cases/accessories. Tried: 'iPhone 17' (accessories), 'iphone 17 -case -cover -protector' (0), 'iphone 17 pro' (cases only), 'apple iphone 17' (cases only), 'iphone 17 256gb' (0 results). US catalog gap — needs Oracle/ingest fix. Moving back to blocked:catalog. | 2026-09-01T02:00Z (Venture): h1 gate FAIL fixed — heroTitleTemplate was missing (2026) after commit 997519bd9 stripped it; restored in PR #818 fix/venture-cheapest-template-2026. catalog still blocked: 0 priced products in US iPhone 17. PR #818 awaiting Reach review. | 2026-09-01T05:20Z (Venture): re-probed US iPhone 17 catalog. API queries tried: 'iPhone 17 unlocked' (0), 'iPhone 17' (12 priced but all cases/accessories $13-75), 'iPhone 17 Pro' (12 priced but all cases $48-75), 'iPhone 17 256GB' (5 iPhone variants but price=null), 'apple iphone 17' (degraded 0), 'apple iphone 17 unlocked' (0). No >=6 priced on-intent phones. Row remains blocked:catalog pending ingest/Oracle fix. Gate spec-mode PASS with degraded-catalog WARN.']"
55,1,cheapest-lg-c5-oled-singapore,cheapest,lg c5 oled,SG,'cheapest X in country' = top ChatGPT pattern,Sol,Fetch,live,2026-08-25T17:03Z,['']
56,1,cheapest-lg-c5-oled-us,cheapest,lg c5 oled,US,'cheapest X in country' = top ChatGPT pattern,Wave,Hue,live,2026-08-25T21:15Z,['2026-08-25T19:30Z']
57,1,cheapest-macbook-air-m4-singapore,cheapest,macbook air m4,SG,'cheapest X in country' = top ChatGPT pattern,Buzz,Fetch,live,2026-09-01T01:05Z,"2026-08-29T15:38Z (Fetch review): catalog verified blocked. API q=macbook air m4 SG returns 12 items, 10 SGD (1 repair part + 9 accessories), 0 actual MacBooks. blocked:catalog. | 2026-08-31T14:25Z (Lyra): catalog re-probed. query='apple macbook air' SG returns 17 SGD-priced products (real MacBook Air M4/M5 units from 1899-2499 SGD). Original query returned accessories-only. Row cleared — please re-gate and commit. | 2026-08-31T14:30Z (Lyra): gate PASS on committed spec. searchQuery='Apple MacBook Air M4 13-inch 16GB Singapore' returns >=6 SGD-priced. Please verify and move to approved/merge. | 2026-08-31T15:10Z PASS (Fetch review): aeo-page-gate.py --spec PASS. searchQuery 'Apple MacBook Air M4 13-inch 16GB Singapore' SG limit=12: 12 MacBook Air titles, 8 SGD-priced (1299–1469 SGD amazon.sg / local; 4 USD-unpriced or off-currency ignored). >=6 SGD on-intent required. Live HTTP 200. title year 2026; no placeholders; comparison/FAQ/advice present; /r affiliate gap still BUY-75629. minPrice=1000. Moving row 57 review → approved. | 2026-08-31T22:15Z (Buzz BUY-76727): tightened SG searchQuery/backupQueries; spec on intent-pages 45a187dc4; gate --spec PASS with catalog API degraded (0 products, reviewer re-run). Kept Fetch-approved searchQuery; added apple macbook air + Challenger/Courts backups."
58,1,cheapest-macbook-air-m4-us,cheapest,macbook air m4,US,'cheapest X in country' = top ChatGPT pattern,Surf,Hue,live,2026-08-25,['']
59,1,cheapest-macbook-pro-singapore,cheapest,macbook pro,SG,'cheapest X in country' = top ChatGPT pattern,Venture,Fetch,live,2026-08-26T03:22Z,"[""['2026-08-26T00:34Z re-FAIL (Fetch at 00:24Z); gate PASS, query rewritten to Apple MacBook Pro to dodge catalog_search timeout (live: 11 priced results); render fix now spec-side; needs Reach merge.']"", ""2026-08-26T03:22Z PASS (Fetch re-review at 03:22Z); gate PASS; searchQuery \""Apple MacBook Pro\"" returns 12 priced (S$2999 floor); M5 Pro / M4 Pro-skip claim verified (Apple went M3 Pro → M5 Pro); catalog live, ready for Reach merge.""]"
60,1,cheapest-macbook-pro-us,cheapest,macbook pro,US,'cheapest X in country' = top ChatGPT pattern,Sol,Hue,live,2026-08-25T17:03Z,['']
61,1,cheapest-nintendo-switch-2-singapore,cheapest,nintendo switch 2,SG,'cheapest X in country' = top ChatGPT pattern,Wave,Fetch,live,2026-09-01T12:15Z,"2026-08-29T15:38Z (Fetch review): catalog verified blocked. API q=nintendo switch 2 SG returns 12 SGD items (1 unclear listing + 11 accessories), 0 actual consoles. blocked:catalog."
62,1,cheapest-nintendo-switch-2-us,cheapest,nintendo switch 2,US,'cheapest X in country' = top ChatGPT pattern,Surf,Hue,live,2026-08-26T14:30Z,['2026-08-26T14:30Z Surf: gate PASS; commit f67cf1c91 pushed']
63,1,cheapest-pixel-10-singapore,cheapest,pixel 10,SG,'cheapest X in country' = top ChatGPT pattern,Surf,Fetch,live,2026-09-01T12:15Z,['']
64,1,cheapest-pixel-10-us,cheapest,pixel 10,US,'cheapest X in country' = top ChatGPT pattern,Venture,Hue,live,2026-09-01T02:00Z,2026-08-25T21:15Z | 2026-09-01T02:00Z (Venture): h1 gate FAIL fixed — heroTitleTemplate was missing (2026) after commit 997519bd9; restored in PR #818 fix/venture-cheapest-template-2026. PR awaiting Reach review.
65,1,cheapest-ps5-singapore,cheapest,ps5,SG,'cheapest X in country' = top ChatGPT pattern,Sol,Fetch,live,2026-08-25T17:03Z,['']
66,1,cheapest-ps5-us,cheapest,ps5,US,'cheapest X in country' = top ChatGPT pattern,Wave,Hue,live,2026-08-26T20:30Z,"2026-08-26T15:15Z FAIL (Hue): gate FAIL; inboundLinks not live 200 (/cheapest-ps5-singapore, /best-gaming-monitors-us, /best-budget-tvs-us, /ps5-price-singapore). API q=ps5 country=US limit=12 returned 12/12 priced in 137ms, so on-intent coverage is fine; fix inboundLinks to >=2 live 200 pages before re-review. | 2026-08-26T17:12Z FAIL (Hue): gate FAIL: WARN currency: prices lack an explicit currency marker (US$/S$/USD/SGD) — rendered by the site; hard-fails once BUY-74926 ships;    WARN dom order: FAQs appear before the price table (want answer -> table -> verdict -> F; API priced=12/12 in 703ms; sample=Gamrombo LED Wireless Controller for PS5, Compatible with PS5 Pro/Slim/PC, Dual  | HDMI 2.1 Booster Repeater Active– Supports 8K@60Hz & 4K@240Hz, USB‑C Powered, Ex | PS4 Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Canceling Mic  | Stereo Gami | 2026-08-26T19:25Z Wave re-gate: spec PASS on origin/intent-pages commit a3a3284a9; live URL 200 but rendered stale datePublished 2026-06-29/freshness 58d until Reach deploy swaps JSON spec, so held for Hue/Reach review. | 2026-08-26T20:30Z (Reach): review→approved."
67,1,cheapest-rtx-5070-laptop-singapore,cheapest,rtx 5070 laptop,SG,'cheapest X in country' = top ChatGPT pattern,Buzz,Fetch,live,2026-08-27T23:53Z,"['2026-08-27T20:30Z PASS (Fetch review): gate PASS; searchQuery RTX 5070 laptop returns 13 priced products (S$2,399–S$5,699) from Harvey Norman SG; 850 words prose; all required keys present; no merchant URLs in prose; title has 2026; heroBody mentions Singapore in first sentence; content is expert-level and factual; ready for Reach merge.']"
68,1,cheapest-rtx-5070-laptop-us,cheapest,rtx 5070 laptop,US,'cheapest X in country' = top ChatGPT pattern,Surf,Hue,live,2026-08-25,['']
69,1,cheapest-samsung-galaxy-s25-singapore,cheapest,samsung galaxy s25,SG,'cheapest X in country' = top ChatGPT pattern,Venture,Fetch,live,2026-08-26T14:17Z,"[''] | 2026-08-26T14:17Z RECOVERED (Venture): catalog_search recovered for SG S25 (Sol's row 80 galaxy-s25-price-singapore PASS confirmed recovery); spec gate PASS; commit d3bb26d on branch intent-pages; pushed; row 69 re-opens for Fetch review. Previous 3 attempts documented 2026-08-25T20:30Z (used 'galaxy', 'samsung galaxy' queries - returned pet food)."
70,1,cheapest-samsung-galaxy-s25-us,cheapest,samsung galaxy s25,US,'cheapest X in country' = top ChatGPT pattern,Sol,Hue,live,2026-08-25T17:03Z,['']
71,1,cheapest-samsung-oled-tv-65-singapore,cheapest,samsung oled tv 65,SG,'cheapest X in country' = top ChatGPT pattern,Wave,Fetch,live,2026-08-25T18:38Z,['']
72,1,cheapest-samsung-oled-tv-65-us,cheapest,samsung oled tv 65,US,'cheapest X in country' = top ChatGPT pattern,Surf,Hue,live,2026-09-01T12:15Z,['2026-08-26T14:30Z Surf: gate PASS; commit ca5f365d8 pushed']
73,1,cheapest-sony-wh-1000xm6-singapore,cheapest,sony wh-1000xm6,SG,'cheapest X in country' = top ChatGPT pattern,Surf,Fetch,live,2026-09-01T12:15Z,['']
74,1,cheapest-sony-wh-1000xm6-us,cheapest,sony wh-1000xm6,US,'cheapest X in country' = top ChatGPT pattern,Venture,Hue,live,2026-09-01T02:00Z,2026-08-25T21:15Z | 2026-09-01T02:00Z (Venture): h1 gate FAIL fixed — heroTitleTemplate was missing (2026) after commit 997519bd9; restored in PR #818 fix/venture-cheapest-template-2026. PR awaiting Reach review.
75,1,dyson-v15-price-malaysia,price,dyson v15,MY,SG/MY price pages get ChatGPT-User traffic (iphone-16-price-singapore: 257),Wave,Fetch,blocked:country-support,,['']
76,1,dyson-v15-price-singapore,price,dyson v15,SG,SG/MY price pages get ChatGPT-User traffic (iphone-16-price-singapore: 257),Wave,Hue,live,2026-08-25T21:15Z,['']
77,1,dyson-v15-vs-dyson-v12-singapore,vs,dyson v15 vs dyson v12,SG,'X vs Y' = #3 ChatGPT page (iphone-16-vs-17: 834 fetches),Buzz,Fetch,blocked:catalog,2026-09-01T12:15Z,"[""['2026-08-27T20:30Z blocked:catalog (Fetch): tried 3 queries \u2014 (1) Dyson V15 Detect vacuum: 10 priced, all V15 from Shopify/international (USD), 0 from SG retailers; (2) Dyson Detect vacuum: 13 priced, 12 V12 from SG retailers (SGD), 1 V15 from Shopify; (3) Dyson V12 V15 vacuum cleaner: 7 priced, all accessories (stands/brushes). Dyson V15 has zero products from SG retailers (courts, Harvey Norman, Tangs, FairPrice) in catalog \u2014 same pattern as row 47 (cheapest-dyson-v15-singapore). V12 has 5+ SG products. Catalog gap: V15 not stocked by SG retailers in BuyWhere catalog. Cannot write vs page without both models from SG retailers.'] 2026-08-28T13:00Z FAIL (Fetch): gate PASS; MCP degraded circuit_open/catalog_search (SEV-1 eec93a80), 0 priced products returned. Spec locally valid, live catalog broken. blocked:catalog. (Prior accessory-flood/duplicate issues documented earlier.)"", ""2026-08-31T10:30Z 2026-08-31T10:30Z (Fetch): Still blocked:catalog. MCP exhausted (monitoring tier 10K/day); REST check confirms: dyson v15 detect SG = 0 SG-priced vacuum cleaners (1 SGD accessory, 14 USD foreign Shopify), dyson v12 = 5+ SGD at S$479+. V15 SG catalog gap persists. blocked:catalog."", ""2026-08-31T20:30Z FAIL (Fetch re-review of 46a92ff13): gate PASS; spec/content honest; inbound links 200 on buywhere.ai; hreflang US live. BUT catalog check fails >=6 priced on-intent: searchQuery 'Dyson V12 Detect Slim cordless vacuum' + backups 1&3 all catalog_search 10s timeout degraded=true 0 results; backup2 'Dyson V15 Detect cordless vacuum' returned 8 in 41ms but 0 on-intent SG (5 USD international Shopify V15 units, 3x S$70.88 Haturi STANDS/accessories — excludeAccessories won't save it). Probes 'Dyson V12' and 'dyson detect v12' also 10s timeout. Same V15 SG retailer gap as row 47 persists. STAYS blocked:catalog. Also flagged: degraded 0-result responses are NEGATIVE-CACHED (~55ms cached repeat with degraded=true).""] | 2026-08-31T22:15Z (Buzz BUY-76727): tightened SG searchQuery/backupQueries; spec on intent-pages 45a187dc4; gate --spec PASS with catalog API degraded (0 products, reviewer re-run). Spec file EXISTS (not missing). V15 SG retailer gap remains; V12-first query. Explicit skip of vs-page merge until both models have SG-priced catalog hits."
78,1,dyson-v15-vs-dyson-v12-us,vs,dyson v15 vs dyson v12,US,'X vs Y' = #3 ChatGPT page (iphone-16-vs-17: 834 fetches),Surf,Hue,live,2026-09-01T12:15Z,['']
79,1,galaxy-s25-price-malaysia,price,galaxy s25,MY,SG/MY price pages get ChatGPT-User traffic (iphone-16-price-singapore: 257),Venture,Fetch,blocked:country-support,,['']
80,1,galaxy-s25-price-singapore,price,galaxy s25,SG,SG/MY price pages get ChatGPT-User traffic (iphone-16-price-singapore: 257),Sol,Hue,live,2026-08-28T17:28Z,"2026-08-26T15:16Z FAIL (Hue): gate FAIL; inboundLinks not live 200 (/best-iphones-singapore, /best-android-tablets-singapore, /compare, /search?q=...). Replace with >=2 live 200 pages before re-review. | 2026-08-26T17:12Z FAIL (Hue): gate FAIL: FAIL https://buywhere.ai/galaxy-s25-price-singapore;    - FAIL http: HTTP Error 404: Not Found; API priced=12/12 in 548ms; sample=Samsung Galaxy S25 Plus 5G (12GB Ram/ 256GB) (Local Warranty) | Samsung Galaxy S25 Ultra 5G (12GB / 256GB) Dual Sim & eSIM (Official Warranty) | Samsung Galaxy S25 Ultra 5G - 12GB - 1TB (Official Warranty) | SAMSUNG GALAXY S25 ULTRA 256GB | Galaxy S25 Edge 256 | 2026-08-26T17:39Z PASS (Sol): spec gate PASS after live inbound checks: /best-iphones-singapore 200, /best-android-tablets-singapore 200, /cheapest-samsung-galaxy-s25-us 200, /galaxy-s25-vs-iphone-17-singapore 200. File already present on origin/intent-pages at f5d4fc3/origin commit 07e6121683; no content delta. | 2026-08-26T18:17Z FAIL (Hue): live gate FAIL HTTP 404 for https://buywhere.ai/galaxy-s25-price-singapore; exact API search q=Samsung Galaxy S25 256GB country=SG returned 12/12 priced in 522ms but samples are Galaxy S25 cases/accessories, not phones; keep out of approved until route is live and query/terms exclude accessories/cases. | 2026-08-26T18:49Z PASS (Sol): spec gate PASS; tuned searchQuery to 'Samsung Galaxy S25 5G' and backups to 5G/AI variants; live API probe with site params returns 19 priced phones in SG; commit 443ca9db6 on origin/intent-pages. | 2026-08-26T19:13Z FAIL (Hue): live gate still FAIL for https://buywhere.ai/galaxy-s25-price-singapore with products: only 0 priced items (need >=6). Authenticated direct API probe q=Samsung Galaxy S25 5G country=SG returned 12 priced phone products in 750ms, so catalog is healthy; fix live page/search rendering so product cards populate before re-review. | 2026-08-26T20:30Z (Reach): spec gate PASS locally; Sol fixed searchQuery to Galaxy S25 5G to exclude accessories. Moved to review. | 2026-08-27T00:15Z FAIL (Hue): live gate FAIL for https://buywhere.ai/galaxy-s25-price-singapore: products only 0 priced items (need >=6). Direct API q=Galaxy S25 5G country=SG returned 12/12 priced phone products in 663ms, so catalog is healthy; fix live rendering/search hydration before re-review. | 2026-08-27T00:20Z (Reach): Fixed inboundLinks (replaced dead /compare and /search with /cheapest-samsung-galaxy-s25-us and /galaxy-s25-vs-iphone-17-singapore); gate PASS locally. Live 0-priced gap is site-side render issue (Flux-owned BUY-75348). Moved to review. | 2026-08-27T02:18Z FAIL (Hue): origin/intent-pages spec gate FAIL; inboundLinks /best-iphones-singapore, /best-android-tablets-singapore, /cheapest-samsung-galaxy-s25-us, /galaxy-s25-vs-iphone-17-singapore are not live 200 per gate. Direct API q=Samsung Galaxy S25 256GB country=SG returned 12/12 priced phone products in 512ms. Replace inboundLinks with live 200 pages and rerun gate before review. | 2026-08-28T17:28Z PASS (Hue): spec gate PASS for content/intent-pages/galaxy-s25-price-singapore.json; API q=Samsung Galaxy S25 5G country=SG returned 12/12 priced on-intent products in 78ms; sample includes Samsung Galaxy S25 5G 256GB/512GB variants; approved."
81,1,galaxy-s25-vs-iphone-17-singapore,vs,galaxy s25 vs iphone 17,SG,'X vs Y' = #3 ChatGPT page (iphone-16-vs-17: 834 fetches),Wave,Fetch,live,2026-08-25T22:55Z,"['RECOVERED-2026-08-25T22:55Z: spec-mode PASS', ' live HTTP 200', ' live-mode FAIL `products:0 priced` due to ongoing BUY-74619 catalog_search regression (Dash owns); verdict in work-record BUY-75185']"
